"","day","sample","mean_moi","median_moi","max_moi","clones"
"1","Day 0","AC025519",1.33333333333333,1,2,"poly"
"2","Day 0","AC025540",1,1,1,"mono"
"3","Day 0","AC025640",1.09090909090909,1,2,"poly"
"4","Day 0","AC025795",1.11111111111111,1,2,"poly"
"5","Day 0","AC027188",1,1,1,"mono"
"6","Day 0","AC028231",1.09090909090909,1,2,"poly"
"7","Day 0","AC028730",1.11111111111111,1,2,"poly"
"8","Day 0","AC029508",1.4,1,2,"poly"
"9","Day 0","AC029782",1,1,1,"mono"
"10","Day 0","AC030405",1,1,1,"mono"
"11","Day 0","AC030629",1,1,1,"mono"
"12","Day 0","AC031312",1.09090909090909,1,2,"poly"
"13","Day 0","AC031997",1.1,1,2,"poly"
"14","Day 0","AC032492",1.09090909090909,1,2,"poly"
"15","Day 0","AC032820",1.3,1,2,"poly"
"16","Day 0","AC032947",1.22222222222222,1,2,"poly"
"17","Day 0","AC033016",1,1,1,"mono"
"18","Day 0","AC033409",1.3,1,2,"poly"
"19","Day 0","AC034050",1.36363636363636,1,2,"poly"
"20","Day 0","AC034470",1.3,1,2,"poly"
"21","Day 0","AC035261",1.33333333333333,1,2,"poly"
"22","Day 0","AC035959",1.375,1,2,"poly"
"23","Day 0","AC036378",1,1,1,"mono"
"24","Day 0","AL023523",1.125,1,2,"poly"
"25","Day 0","AL023630",1,1,1,"mono"
"26","Day 0","AL023661",2.09090909090909,2,3,"poly"
"27","Day 0","AL024087",1.1,1,2,"poly"
"28","Day 0","AL024180",1,1,1,"mono"
"29","Day 0","AL024531",1,1,1,"mono"
"30","Day 0","AL024563",1,1,1,"mono"
"31","Day 0","AL024616",1,1,1,"mono"
"32","Day 0","AL024635",1.14285714285714,1,2,"poly"
"33","Day 0","AL024651",1,1,1,"mono"
"34","Day 0","AL024656",1,1,1,"mono"
"35","Day 0","AL025031",1.2,1,2,"poly"
"36","Day 0","AL025075",1.11111111111111,1,2,"poly"
"37","Day 0","AL025114",1.1,1,2,"poly"
"38","Day 0","AL025230",1.125,1,2,"poly"
"39","Day 0","AL025332",1.375,1,2,"poly"
"40","Day 0","AL025336",1.4,1,2,"poly"
"41","Day 0","AL025515",1,1,1,"mono"
"42","Day 0","AL025728",1.27272727272727,1,2,"poly"
