SampleID	BarcodeID_F	BarcodeID_R	SampleName	copies_ul	Cq
AR-002-0	N501	AR003	2	395	29.8
AR-064-0	N502	AR003	64	33	33
AR-105-0	N503	AR003	105	4678	29.2
AR-163-0	N504	AR003	163	1	40
AR-209-0	N505	AR003	209	6960	28
AR-252-0	N506	AR003	252	180	35.2
AR-306-0	N507	AR003	306	2570	29.3
AR-359-0	N508	AR003	359	2010	29.7
AR-006-0	N501	AR021	6	90	31.7
AR-067-0	N502	AR021	67	859	28.8
AR-109-0	N503	AR021	109	143998	24
AR-164-0	N504	AR021	164	1680	28.9
AR-213-0	N505	AR021	213	55	34.6
AR-255-0	N506	AR021	255	629	31.3
AR-322-0	N507	AR021	322	380	32
AR-366-0	N508	AR021	366	3420	29
AR-007-0	N501	AR027	7	231	30.5
AR-079-0	N502	AR027	79	289	30.2
AR-110-0	N503	AR027	110	1478	31
AR-173-0	N504	AR027	173	3790	28.8
AR-214-0	N505	AR027	214	17598	27.2
AR-258-0	N506	AR027	258	4010	28.7
AR-325-0	N507	AR027	325	1310	30.3
AR-367-0	N508	AR027	367	2080	29.6
AR-008-0	N501	AR028	8	7	35.1
AR-081-0	N502	AR028	81	41	32.8
AR-113-0	N503	AR028	113	903	31.7
AR-176-0	N504	AR028	176	3300	29
AR-221-0	N505	AR028	221	4258	29.4
AR-264-0	N506	AR028	264	1	39.4
AR-326-0	N507	AR028	326	1880	29.8
AR-374-0	N508	AR028	374	2230	29.5
AR-009-0	N501	AR042	9	284	30.2
AR-082-0	N502	AR042	82	682	29.1
AR-122-0	N503	AR042	122	2854	30.3
AR-179-0	N504	AR042	179	2328	30.3
AR-232-0	N505	AR042	232	380	32
AR-265-0	N506	AR042	265	26	35.8
AR-328-0	N507	AR042	328	77	34.2
AR-382-0	N508	AR042	382	1640	30
AR-015-0	N501	AR045	15	8	34.8
AR-083-0	N502	AR045	83	1050	28.5
AR-126-0	N503	AR045	126	901	31.7
AR-180-0	N504	AR045	180	6318	28.8
AR-234-0	N505	AR045	234	1538	30.9
AR-270-0	N506	AR045	270	1750	29.9
AR-331-0	N507	AR045	331	6340	28.1
AR-383-0	N508	AR045	383	4800	28.5
AR-023-0	N501	AR049	23	65	32.2
AR-093-0	N502	AR049	93	1570	28
AR-129-0	N503	AR049	129	5508	29
AR-182-0	N504	AR049	182	15400	25.9
AR-237-0	N505	AR049	237	0	38.1
AR-274-0	N506	AR049	274	2268	30.3
AR-341-0	N507	AR049	341	119	33.6
AR-096-168	N508	AR049	96	951	28.7
AR-024-0	N501	AR052	24	58	32.3
AR-096-0	N502	AR052	96	1280	28.3
AR-133-0	N503	AR052	133	620	32.3
AR-187-0	N504	AR052	187	48	34.8
AR-240-0	N505	AR052	240	20299	27.5
AR-288-0	N506	AR052	288	1348	31.1
AR-343-0	N507	AR052	343	29400	26
AR-098-56	N508	AR052	98	0	36.7
AR-028-0	N501	AR059	28	44	32.7
AR-097-0	N502	AR059	97	1880	27.8
AR-140-0	N503	AR059	140	402	31.9
AR-188-0	N504	AR059	188	247	33.5
AR-246-0	N505	AR059	246	1558	30.9
AR-292-0	N506	AR059	292	245	33.5
AR-345-0	N507	AR059	345	266	32.5
AR-345-112	N508	AR059	345	48	34.8
AR-041-0	N501	AR062	41	450	29.6
AR-098-0	N502	AR062	98	3710	26.9
AR-142-0	N503	AR062	142	8140	27.8
AR-190-0	N504	AR062	190	123	33.5
AR-248-0	N505	AR062	248	13498	27.6
AR-300-0	N506	AR062	300	1628	30.8
AR-346-0	N507	AR062	346	3730	28.8
AR-346-112	N508	AR062	346	283	32.4
AR-045-0	N501	AR087	45	6950	26.1
AR-101-0	N502	AR087	101	1248	31.2
AR-150-0	N503	AR087	150	2028	30.5
AR-192-0	N504	AR087	192	513	32.5
AR-249-0	N505	AR087	249	4348	29.3
AR-302-0	N506	AR087	302	2248	30.3
AR-348-0	N507	AR087	348	1110	30.5
AR-348-84	N508	AR087	348	4610	28.5
AR-056-0	N501	AR093	56	315	30.1
AR-104-0	N502	AR093	104	95854	24.2
AR-160-0	N503	AR093	160	102	33.8
AR-195-0	N504	AR093	195	696	32.1
AR-250-0	N505	AR093	250	2378	30.3
AR-304-0	N506	AR093	304	5038	29.1
AR-355-0	N507	AR093	355	328	32.2
AR-382-168	N508	AR093	382	51	34.7
AR-140-112	AF037	N701	140	11	36.5
AR-221-70	AF048	N701	221	2018	30.5
AR-326-168	AF051	N701	326	2350	29.5
AR-024-112	AF064	N701	24	265	34.24
AR-096-2	AF067	N701	96	275	37.03
AR-133-84	AF068	N701	133	117	34.36
Blank	AF077	N701	Blank	#N/A	#N/A
AR-331-140	AF083	N701	331	338	36.71
AR-142-46	AF037	N702	142	967	31.6
AR-232-168	AF048	N702	232	1	40
AR-322-140	AF051	N702	322	618	30.3
AR-023-56	AF064	N702	23	4.02	36.76
AR-096-56	AF067	N702	96	9.06E-129	35.64
AR-133-140	AF068	N702	133	57.6	35.08
Blank	AF077	N702	Blank	#N/A	#N/A
AR-240-70	AF083	N702	240	10.8	38.55
AR-142-97	AF037	N703	142	4198	29.4
AR-264-70	AF048	N703	264	3	37.3
AR-006-2	AF051	N703	6	1	38.1
AR-023-70	AF064	N703	23	0.55	37.61
AR-096-70	AF067	N703	96	8.24E-117	35.49
AR-140-56	AF068	N703	140	1.4	38.24
